Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
176,EL-REL-000176,PowerRelay_SPST_15A_5V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 5V coil, 15A switching current (10A@277VAC), compact PCB mount",JQC-3FF-005-1H,SPST 15A 5V,Relay:JQC-3FF-005-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,5V DC,70,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-005-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
177,EL-REL-000177,PowerRelay_SPDT_10A_5V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 5V coil, 10A switching current, compact PCB mount",JQC-3FF-005-1Z,SPDT 10A 5V,Relay:JQC-3FF-005-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,5V DC,70,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-005-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
178,EL-REL-000178,PowerRelay_SPST_15A_6V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 6V coil, 15A switching current, compact PCB mount",JQC-3FF-006-1H,SPST 15A 6V,Relay:JQC-3FF-006-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,6V DC,100,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-006-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
179,EL-REL-000179,PowerRelay_SPDT_10A_6V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 6V coil, 10A switching current, compact PCB mount",JQC-3FF-006-1Z,SPDT 10A 6V,Relay:JQC-3FF-006-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,6V DC,100,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-006-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
180,EL-REL-000180,PowerRelay_SPST_15A_9V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 9V coil, 15A switching current, compact PCB mount",JQC-3FF-009-1H,SPST 15A 9V,Relay:JQC-3FF-009-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,9V DC,225,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-009-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
181,EL-REL-000181,PowerRelay_SPDT_10A_9V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 9V coil, 10A switching current, compact PCB mount",JQC-3FF-009-1Z,SPDT 10A 9V,Relay:JQC-3FF-009-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,9V DC,225,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-009-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
182,EL-REL-000182,PowerRelay_SPST_15A_12V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 12V coil, 15A switching current, compact PCB mount",JQC-3FF-012-1H,SPST 15A 12V,Relay:JQC-3FF-012-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,12V DC,400,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-012-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
183,EL-REL-000183,PowerRelay_SPDT_10A_12V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 12V coil, 10A switching current, compact PCB mount",JQC-3FF-012-1Z,SPDT 10A 12V,Relay:JQC-3FF-012-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,12V DC,400,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-012-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
184,EL-REL-000184,PowerRelay_SPST_15A_18V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 18V coil, 15A switching current, compact PCB mount",JQC-3FF-018-1H,SPST 15A 18V,Relay:JQC-3FF-018-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,18V DC,900,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-018-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
185,EL-REL-000185,PowerRelay_SPDT_10A_18V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 18V coil, 10A switching current, compact PCB mount",JQC-3FF-018-1Z,SPDT 10A 18V,Relay:JQC-3FF-018-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,18V DC,900,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-018-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
186,EL-REL-000186,PowerRelay_SPST_15A_24V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 24V coil, 15A switching current, compact PCB mount",JQC-3FF-024-1H,SPST 15A 24V,Relay:JQC-3FF-024-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,24V DC,1600,0.36W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-024-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
187,EL-REL-000187,PowerRelay_SPDT_10A_24V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 24V coil, 10A switching current, compact PCB mount",JQC-3FF-024-1Z,SPDT 10A 24V,Relay:JQC-3FF-024-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,24V DC,1600,0.36W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-024-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
188,EL-REL-000188,PowerRelay_SPST_15A_48V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPST-NO relay, 48V coil, 15A switching current, compact PCB mount",JQC-3FF-048-1H,SPST 15A 48V,Relay:JQC-3FF-048-1H,Relay_THT:Relay_SPST_Hongfa_JQC-3FF_0XX-1H,Relay*SPST*Hongfa*JQC*3FF*0XX*1H*,48V DC,4500,0.51W,SPST-NO (1 Form A),15A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-048-1H,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPST,,2024-01-15,,2024-01-15,1,,
189,EL-REL-000189,PowerRelay_SPDT_10A_48V_Hongfa_JQC3FF,"Hongfa JQC-3FF Series - Subminiature high power SPDT relay, 48V coil, 10A switching current, compact PCB mount",JQC-3FF-048-1Z,SPDT 10A 48V,Relay:JQC-3FF-048-1Z,Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,Relay*SPDT*Hongfa*JQC*3FF*0XX*1Z*,48V DC,4500,0.51W,SPDT (1 Form C),10A,277VAC,100mΩ,,,10ms,5ms,10000000,100000,Electromechanical Monostable,Through Hole,DIP,19.0 x 15.5 x 15.8mm,15.8mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf,1,1,Hongfa,JQC-3FF-048-1Z,JQC-3FF,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Hongmei power relay SPDT,,2024-01-15,,2024-01-15,1,,
190,EL-REL-000190,PowerRelay_DPDT_5A_Panasonic_JW2,"Panasonic JW Series - General purpose DPDT power relay, 5A switching capacity, through hole, compact design",JW2,DPDT 5A,Relay:JW2,Relay_THT:Relay_DPDT_Panasonic_JW2,Relay*DPDT*Panasonic*JW2*,12V DC,720,0.4W,DPDT (2 Form C),5A,250VAC,100mΩ,,,15ms,8ms,20000000,100000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,http://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_jw.pdf?via=ok,1,1,Panasonic,JW2,JW,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,Panasonic Relay Dual Pole,,2024-01-15,,2024-01-15,1,,
191,EL-REL-000191,ReedRelay_SPST_StandexMeder_MS_Form1A,"Standex-Meder MS Series - Reed relay, SPST-NO (Form 1A), closing contact, ideal for automatic test equipment and instrumentation",MSxx-1Axx-75,SPST Reed,Relay:MSxx-1Axx-75,Relay_THT:Relay_SPST_StandexMeder_MS_Form1AB,Relay*SPST*StandexMeder*MS*Form1AB*,5V DC,500,0.05W,SPST-NO (1 Form A),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,100000000,Reed Relay,Through Hole,DIP,19.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheets/42/4205187975e.pdf,1,1,Standex-Meder,MS05-1A85-75,MS,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST,,2024-01-15,,2024-01-15,1,,
192,EL-REL-000192,ReedRelay_SPST_NC_StandexMeder_MS_Form1B,"Standex-Meder MS Series - Reed relay, SPST-NC (Form 1B), opening contact, ideal for fail-safe applications",MSxx-1Bxx-75,SPST-NC Reed,Relay:MSxx-1Bxx-75,Relay_THT:Relay_SPST_StandexMeder_MS_Form1AB,Relay*SPST*StandexMeder*MS*Form1AB*,5V DC,500,0.05W,SPST-NC (1 Form B),0.5A,200V,0.15Ω,,,0.5ms,0.1ms,500000000,100000000,Reed Relay,Through Hole,DIP,19.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/de/produkte/ms-reed-relais/,1,1,Standex-Meder,MS05-1B85-75,MS,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay SPST NC,,2024-01-15,,2024-01-15,1,,
193,EL-REL-000193,PowerRelay_SPST_22A_9V_Panasonic_ALFG_FormA,"Panasonic ALFG Series - High capacity SPST power relay, 9V coil, 22A switching current, 1.5mm contact gap, for industrial applications",ALFG1PF09,SPST 22A 9V,Relay:Panasonic_ALFG1PF09,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,9V DC,105,0.77W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF09,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact high power,,2024-01-15,,2024-01-15,1,,
194,EL-REL-000194,PowerRelay_SPST_22A_9V_1.8mmGap_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 9V coil, 22A switching current, 1.8mm contact gap, enhanced isolation",ALFG1PF091,SPST 22A 9V 1.8mm,Relay:Panasonic_ALFG1PF091,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,9V DC,105,0.77W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF091,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact high isolation,,2024-01-15,,2024-01-15,1,,
195,EL-REL-000195,PowerRelay_SPST_22A_12V_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 12V coil, 22A switching current, 1.5mm contact gap",ALFG1PF12,SPST 22A 12V,Relay:Panasonic_ALFG1PF12,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,12V DC,180,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF12,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact,,2024-01-15,,2024-01-15,1,,
196,EL-REL-000196,PowerRelay_SPST_22A_12V_1.8mmGap_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 12V coil, 22A switching current, 1.8mm contact gap",ALFG1PF121,SPST 22A 12V 1.8mm,Relay:Panasonic_ALFG1PF121,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,12V DC,180,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF121,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact,,2024-01-15,,2024-01-15,1,,
197,EL-REL-000197,PowerRelay_SPST_22A_18V_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 18V coil, 22A switching current, 1.5mm contact gap",ALFG1PF18,SPST 22A 18V,Relay:Panasonic_ALFG1PF18,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,18V DC,405,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF18,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact,,2024-01-15,,2024-01-15,1,,
198,EL-REL-000198,PowerRelay_SPST_22A_18V_1.8mmGap_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 18V coil, 22A switching current, 1.8mm contact gap",ALFG1PF181,SPST 22A 18V 1.8mm,Relay:Panasonic_ALFG1PF181,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,18V DC,405,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF181,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact,,2024-01-15,,2024-01-15,1,,
199,EL-REL-000199,PowerRelay_SPST_22A_24V_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 24V coil, 22A switching current, 1.5mm contact gap",ALFG1PF24,SPST 22A 24V,Relay:Panasonic_ALFG1PF24,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,24V DC,720,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF24,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact,,2024-01-15,,2024-01-15,1,,
200,EL-REL-000200,PowerRelay_SPST_22A_24V_1.8mmGap_Panasonic_ALFG,"Panasonic ALFG Series - High capacity SPST power relay, 24V coil, 22A switching current, 1.8mm contact gap, enhanced isolation",ALFG1PF241,SPST 22A 24V 1.8mm,Relay:Panasonic_ALFG1PF241,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,24V DC,720,0.8W,SPST-NO (1 Form A),22A,277VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.0 x 16.0 x 20.0mm,20.0mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG1PF241,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,single pole spst make contact high isolation,,2024-01-15,,2024-01-15,1,,
201,EL-REL-000201,PowerRelay_SPST_31A_9V_Panasonic_ALFG2PF09,"Panasonic ALFG Series - High capacity SPST power relay, 9V coil, 31A switching current, 1.5mm contact gap, Class F insulation",ALFG2PF09,31A 9V SPST,Relay:Panasonic_ALFG2PF09,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,9V DC,58,1.4W,SPST-NO (1 Form A),31A,250VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.1 x 15.7 x 23.3mm,23.3mm,PC Pin,-40°C,60°C,-40°C to 60°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG2PF09,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,SPST-NO high power relay,,2024-01-15,,2024-01-15,1,,
202,EL-REL-000202,PowerRelay_SPST_33A_9V_1.8mm_Panasonic_ALFG2PF091,"Panasonic ALFG Series - High capacity SPST power relay, 9V coil, 33A switching current, 1.8mm contact gap, enhanced isolation",ALFG2PF091,33A 9V 1.8mm,Relay:Panasonic_ALFG2PF091,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,9V DC,58,1.4W,SPST-NO (1 Form A),33A,250VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.1 x 15.7 x 23.3mm,23.3mm,PC Pin,-40°C,60°C,-40°C to 60°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG2PF091,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,SPST-NO high power high isolation,,2024-01-15,,2024-01-15,1,,
203,EL-REL-000203,PowerRelay_SPST_31A_12V_Panasonic_ALFG2PF12,"Panasonic ALFG Series - High capacity SPST power relay, 12V coil, 31A switching current, 1.5mm contact gap, Class F insulation",ALFG2PF12,31A 12V SPST,Relay:Panasonic_ALFG2PF12,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,12V DC,103,1.4W,SPST-NO (1 Form A),31A,250VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.1 x 15.7 x 23.3mm,23.3mm,PC Pin,-40°C,60°C,-40°C to 60°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG2PF12,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,SPST-NO high power relay,,2024-01-15,,2024-01-15,1,,
204,EL-REL-000204,PowerRelay_SPST_33A_12V_1.8mm_Panasonic_ALFG2PF121,"Panasonic ALFG Series - High capacity SPST power relay, 12V coil, 33A switching current, 1.8mm contact gap, enhanced isolation",ALFG2PF121,33A 12V 1.8mm,Relay:Panasonic_ALFG2PF121,Relay_THT:Relay_SPST_Panasonic_ALFG_FormA_CircularHoles,Relay*SPST*Panasonic*ALFG*FormA*,12V DC,103,1.4W,SPST-NO (1 Form A),33A,250VAC,30mΩ,,,20ms,10ms,10000000,50000,Electromechanical Monostable,Through Hole,DIP,30.1 x 15.7 x 23.3mm,23.3mm,PC Pin,-40°C,60°C,-40°C to 60°C,,,https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_lfg.pdf,1,1,Panasonic,ALFG2PF121,ALFG,,,,,,,,,,,Relays,Power Relays,,,,,,,,,,,,1,,SPST-NO high power high isolation,,2024-01-15,,2024-01-15,1,,
