KeyId,MyPN,Name,Description,Value,Value2,FET_Type,Channel,Mode,Material,VDS,VGS,VGS_Threshold,ID_Continuous,ID_Pulse,RDS_On,RDS_On_Condition,Power_Total,Input_Capacitance,Output_Capacitance,Reverse_Capacitance,Gate_Charge_Total,Gate_Charge_GS,Gate_Charge_GD,Turn_On_Delay,Rise_Time,Turn_Off_Delay,Fall_Time,Diode_Forward_Voltage,Diode_Recovery_Time,IDSS,IGSS,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000388,CSD17576Q5B,"100A Id, 30V Vds, NexFET N-Channel Power MOSFET, 2.0mOhm Ron, 25nC Qg(typ), SON8 5x6mm",N-MOS 30V 100A 2.0mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,100A,200A,2.0mΩ,"VGS=10V, ID=50A",3.2W,3100pF,1050pF,170pF,25nC,6.7nC,8.3nC,10ns,15ns,24ns,10ns,1.0V,17ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD17576Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000389,CSD17577Q3A,"35A Id, 30V Vds, NexFET N-Channel Power MOSFET, 4.0mOhm Ron, Qg Typ 12nC, VSON-8 3.3x3.3mm",N-MOS 30V 35A 4.0mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,35A,70A,4.0mΩ,"VGS=10V, ID=17.5A",2.8W,1600pF,540pF,88pF,12nC,3.2nC,4.0nC,7ns,10ns,18ns,7ns,1.0V,13ns,1µA,10nA,VSON-8,3.30x3.30mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm,VSON*3.3x3.3mm*P0.65mm*NexFET*,,1,1,Texas Instruments,CSD17577Q3A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000390,CSD17577Q5A,"60A Id, 30V Vds, NexFET N-Channel Power MOSFET, 4.2mOhm Ron, 13nC Qg(typ), SON8 5x6mm",N-MOS 30V 60A 4.2mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,60A,120A,4.2mΩ,"VGS=10V, ID=30A",3.0W,2000pF,680pF,110pF,13nC,3.5nC,4.3nC,8ns,11ns,19ns,8ns,1.0V,14ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD17577Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000391,CSD17578Q5A,"25A Id, 30V Vds, NexFET N-Channel Power MOSFET, 6.9mOhm Ron, Qg (typ) 7.9nC, SON8 5x6mm",N-MOS 30V 25A 6.9mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,25A,50A,6.9mΩ,"VGS=10V, ID=12.5A",2.5W,1300pF,440pF,72pF,7.9nC,2.1nC,2.6nC,7ns,9ns,17ns,7ns,1.0V,12ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD17578Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000392,CSD17579Q5A,"25A Id, 30V Vds, NexFET N-Channel Power MOSFET, 9.7mOhm Ron, Qg (typ) 5.4nC, SON8 5x6mm",N-MOS 30V 25A 9.7mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,25A,50A,9.7mΩ,"VGS=10V, ID=12.5A",2.5W,1000pF,340pF,55pF,5.4nC,1.5nC,1.8nC,6ns,8ns,15ns,6ns,1.0V,11ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD17579Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000393,CSD17581Q3A,"60A Id, 30V Vds, NexFET N-Channel Power MOSFET, 3.2mOhm Ron, Qg Typ 20nC, VSON-8 3.3x3.3mm",N-MOS 30V 60A 3.2mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,1.0-1.8V,60A,120A,3.2mΩ,"VGS=10V, ID=30A",2.8W,2000pF,680pF,110pF,20nC,5.3nC,6.6nC,9ns,13ns,22ns,9ns,1.0V,15ns,1µA,10nA,VSON-8,3.30x3.30mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm,VSON*3.3x3.3mm*P0.65mm*NexFET*,,1,1,Texas Instruments,CSD17581Q3A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000394,CSD18501Q5A,"100A Id, 40V Vds, NexFET N-Channel Power MOSFET, 3.2mOhm Ron, 42nC Qg(typ), SON8 5x6mm",N-MOS 40V 100A 3.2mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,1.1-2.0V,100A,200A,3.2mΩ,"VGS=10V, ID=50A",3.2W,3200pF,1100pF,180pF,42nC,11.2nC,13.9nC,11ns,16ns,26ns,11ns,1.0V,19ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18501Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000395,CSD18502Q5B,"100A Id, 40V Vds, NexFET N-Channel Power MOSFET, 2.3mOhm Ron, 52nC Qg(typ), SON8 5x6mm",N-MOS 40V 100A 2.3mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,1.1-2.0V,100A,200A,2.3mΩ,"VGS=10V, ID=50A",3.2W,3900pF,1300pF,215pF,52nC,13.9nC,17.2nC,12ns,18ns,29ns,12ns,1.0V,21ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18502Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000396,CSD18503Q5A,"100A Id, 40V Vds, NexFET N-Channel Power MOSFET, 4.3mOhm Ron, 26nC Qg(typ), SON8 5x6mm",N-MOS 40V 100A 4.3mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,1.1-2.0V,100A,200A,4.3mΩ,"VGS=10V, ID=50A",3.2W,2600pF,880pF,145pF,26nC,6.9nC,8.6nC,10ns,14ns,23ns,10ns,1.0V,16ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18503Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000397,CSD18504Q5A,"50A Id, 40V Vds, NexFET N-Channel Power MOSFET, 6.6mOhm Ron, 16nC Qg(typ), SON8 5x6mm",N-MOS 40V 50A 6.6mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,1.1-2.0V,50A,100A,6.6mΩ,"VGS=10V, ID=25A",2.8W,1800pF,610pF,100pF,16nC,4.3nC,5.3nC,8ns,12ns,20ns,8ns,1.0V,14ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18504Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000398,CSD18509Q5B,"100A Id, 40V Vds, NexFET N-Channel Power MOSFET, 1.2mOhm Ron, 150nC Qg(typ), SON8 5x6mm",N-MOS 40V 100A 1.2mΩ,,MOSFET,N-Channel,Enhancement,Silicon,40V,±20V,1.1-2.0V,100A,200A,1.2mΩ,"VGS=10V, ID=50A",3.2W,6000pF,2000pF,330pF,150nC,40nC,49.5nC,16ns,24ns,38ns,16ns,1.0V,26ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18509Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000399,CSD18531Q5A,"100A Id, 60V Vds, NexFET N-Channel Power MOSFET, 4.6mOhm Ron, 36nC Qg(typ), SON8 5x6mm",N-MOS 60V 100A 4.6mΩ,,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.3-2.3V,100A,200A,4.6mΩ,"VGS=10V, ID=50A",3.2W,2800pF,950pF,155pF,36nC,9.6nC,11.9nC,11ns,16ns,26ns,11ns,1.0V,18ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18531Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000400,CSD18532NQ5B,"100A Id, 60V Vds, NexFET N-Channel Power MOSFET, 3.4mOhm Ron, 49nC Qg(typ), SON8 5x6mm",N-MOS 60V 100A 3.4mΩ,,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.3-2.3V,100A,200A,3.4mΩ,"VGS=10V, ID=50A",3.2W,3400pF,1150pF,190pF,49nC,13.1nC,16.2nC,12ns,18ns,29ns,12ns,1.0V,20ns,1µA,10nA,SON-8 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18532NQ5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000401,CSD18532Q5B,"60V N-Channel NexFET Power MOSFET, 2.5mOhm, SON 5mm x 6mm",N-MOS 60V 100A 2.5mΩ,Ultra-Low Qg,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.7-2.4V,100A,200A,2.5mΩ,"VGS=10V, ID=50A",3.2W,3100pF,970pF,69pF,44nC,13nC,12nC,11ns,18ns,29ns,12ns,1.0V,28ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18532Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000402,CSD18533Q5A,"60V N-Channel NexFET Power MOSFET, 4.7mOhm, SON 5mm x 6mm",N-MOS 60V 100A 4.7mΩ,Logic Level,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.6-2.4V,100A,200A,4.7mΩ,"VGS=10V, ID=50A",3.2W,2450pF,650pF,41pF,29nC,8.5nC,7.4nC,9.5ns,14ns,24ns,9.2ns,1.0V,26ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18533Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000403,CSD18534Q5A,"60V N-Channel NexFET Power MOSFET, 7.8mOhm, SON 5mm x 6mm",N-MOS 60V 50A 7.8mΩ,Logic Level,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.6-2.4V,50A,100A,7.8mΩ,"VGS=10V, ID=25A",3.2W,1620pF,410pF,26pF,17nC,5.2nC,4.5nC,8.1ns,11ns,20ns,7.4ns,1.0V,24ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18534Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000404,CSD18537NQ5A,"60V N-Channel NexFET Power MOSFET, 10mOhm, SON 5mm x 6mm",N-MOS 60V 50A 10mΩ,Control FET,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,2.2-3.4V,50A,100A,10mΩ,"VGS=10V, ID=25A",3.2W,1500pF,380pF,24pF,14nC,4.4nC,3.7nC,7.8ns,10ns,19ns,7ns,1.0V,23ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18537NQ5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000405,CSD18540Q5B,"60V N-Channel NexFET Power MOSFET, 1.8mOhm, SON 5mm x 6mm",N-MOS 60V 100A 1.8mΩ,Ultra-Low Rds,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.7-2.4V,100A,200A,1.8mΩ,"VGS=10V, ID=50A",3.2W,4000pF,1250pF,90pF,62nC,18nC,17nC,13ns,22ns,35ns,15ns,1.0V,32ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18540Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000406,CSD18543Q3A,"60V N-Channel NexFET Power MOSFET, 8.1mOhm, SON 3.3mm x 3.3mm",N-MOS 60V 35A 8.1mΩ,,MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.8-2.7V,35A,70A,8.1mΩ,"VGS=10V, ID=17.5A",2.8W,1330pF,400pF,32pF,11.1nC,3.5nC,3.1nC,7.1ns,9.1ns,16ns,5.7ns,1.0V,23ns,1µA,100nA,SON 3x3mm,3.30x3.30mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm,VSON*3.3x3.3mm*P0.65mm*NexFET*,,1,1,Texas Instruments,CSD18543Q3A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000407,CSD18563Q5A,"60V N-Channel NexFET Power MOSFET, 5.7mOhm, SON 5mm x 6mm",N-MOS 60V 100A 5.7mΩ,"Sync FET, Soft Diode",MOSFET,N-Channel,Enhancement,Silicon,60V,±20V,1.6-2.4V,100A,200A,5.7mΩ,"VGS=10V, ID=50A",3.2W,2100pF,550pF,35pF,15nC,4.8nC,4.1nC,8.5ns,12ns,21ns,8ns,1.0V,25ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD18563Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000408,CSD19531Q5A,"100V N-Channel NexFET Power MOSFET, 5.3mOhm, SON 5mm x 6mm",N-MOS 100V 100A 5.3mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.7-3.6V,100A,200A,5.3mΩ,"VGS=10V, ID=50A",3.3W,3600pF,670pF,39pF,37nC,10nC,6.6nC,11ns,17ns,26ns,10ns,1.0V,45ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD19531Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000409,CSD19532Q5B,"100V N-Channel NexFET Power MOSFET, 4.9mOhm, SON 5mm x 6mm",N-MOS 100V 100A 4.9mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.7-3.6V,100A,200A,4.9mΩ,"VGS=10V, ID=50A",3.3W,4100pF,760pF,45pF,48nC,13nC,8.5nC,12ns,19ns,29ns,11ns,1.0V,48ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD19532Q5B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000410,CSD19533Q5A,"100V N-Channel NexFET Power MOSFET, 9.5mOhm, SON 5mm x 6mm",N-MOS 100V 100A 9.5mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.7-3.6V,100A,200A,9.5mΩ,"VGS=10V, ID=50A",3.3W,2500pF,470pF,27pF,27nC,7.3nC,4.8nC,10ns,15ns,24ns,9ns,1.0V,42ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD19533Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000411,CSD19534Q5A,"100V N-Channel NexFET Power MOSFET, 15.1mOhm, SON 5mm x 6mm",N-MOS 100V 50A 15.1mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.7-3.6V,50A,100A,15.1mΩ,"VGS=10V, ID=25A",3.3W,1600pF,300pF,17pF,17nC,4.6nC,3.1nC,8.5ns,13ns,21ns,8ns,1.0V,38ns,1µA,100nA,SON 5x6mm,5.00x6.00mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,TDSON*,,1,1,Texas Instruments,CSD19534Q5A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000412,CSD19537Q3,"100V N-Channel NexFET Power MOSFET, 13mOhm, VSON-8 3.3x3.3mm",N-MOS 100V 50A 13mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.5-3.5V,50A,100A,13mΩ,"VGS=10V, ID=25A",2.8W,1800pF,260pF,25pF,16nC,4.5nC,4.8nC,9ns,12ns,21ns,8ns,1.0V,40ns,1µA,100nA,VSON-8,3.30x3.30mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm,VSON*3.3x3.3mm*P0.65mm*NexFET*,,1,1,Texas Instruments,CSD19537Q3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000413,CSD19538Q2,"100V N-Channel NexFET Power MOSFET, 49mOhm, SON-6",N-MOS 100V 4.6A 49mΩ,,MOSFET,N-Channel,Enhancement,Silicon,100V,±20V,2.5-3.5V,4.6A,15A,49mΩ,"VGS=10V, ID=4.6A",2.3W,380pF,75pF,18pF,5.2nC,1.5nC,1.8nC,7ns,6ns,14ns,5ns,1.0V,35ns,1µA,100nA,SON-6,2.00x2.00mm,0.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_SON:Texas_DQK,Texas*DQK*,,1,1,Texas Instruments,CSD19538Q2,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000414,DMC2053UVT,"20V Complementary Pair N+P-Channel MOSFET, 4.6A/3.2A, TSOT-23-6",N+P-MOS 20V 4.6A/3.2A,,MOSFET,N+P-Channel,Enhancement,Silicon,20V,±12V,0.5-1.2V,"4.6A (N), -3.2A (P)","15A (N), -12A (P)","28mΩ (N), 65mΩ (P)",VGS=4.5V,1.5W,"450pF (N), 800pF (P)","120pF (N), 250pF (P)","50pF (N), 90pF (P)","8.5nC (N), 12nC (P)","2.2nC (N), 3.5nC (P)","2.8nC (N), 4.2nC (P)",6ns,8ns,16ns,7ns,1.0V,20ns,1µA,100nA,TSOT-23-6,2.90x2.80mm,0.90mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NPN_PNP_E1B1C2E2B2C1,MyLib_Package_TO_SOT_SMD:TSOT-23-6,TSOT?23*,,1,1,Diodes Inc.,DMC2053UVT,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000415,DMC3071LVT,"30V Complementary Pair N+P-Channel MOSFET, 3.4A/2.7A, TSOT-23-6",N+P-MOS 30V 3.4A/2.7A,,MOSFET,N+P-Channel,Enhancement,Silicon,30V,±20V,0.8-1.8V,"3.4A (N), -2.7A (P)","12A (N), -10A (P)","48mΩ (N), 95mΩ (P)",VGS=10V,1.5W,"350pF (N), 600pF (P)","90pF (N), 200pF (P)","35pF (N), 70pF (P)","6.5nC (N), 9.5nC (P)","1.8nC (N), 2.8nC (P)","2.2nC (N), 3.2nC (P)",5.5ns,7.5ns,15ns,6.5ns,1.0V,22ns,1µA,100nA,TSOT-23-6,2.90x2.80mm,0.90mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NPN_PNP_E1B1C2E2B2C1,MyLib_Package_TO_SOT_SMD:TSOT-23-6,TSOT?23*,,1,1,Diodes Inc.,DMC3071LVT,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000416,DMG1012T,"20V N-Channel MOSFET, 0.63A, SOT-523",N-MOS 20V 0.63A 400mΩ,ESD Protection,MOSFET,N-Channel,Enhancement,Silicon,20V,±6V,0.5-1.0V,0.63A,2.5A,400mΩ,"VGS=4.5V, ID=0.63A",310mW,60pF,20pF,8pF,0.8nC,0.25nC,0.3nC,3.5ns,4.2ns,10ns,4.5ns,1.0V,12ns,1µA,10nA,SOT-523,1.60x1.20mm,0.60mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-523,SOT?523*,,1,1,Diodes Inc.,DMG1012T,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000417,DMG2301L,"-20V P-Channel MOSFET, -3A, SOT-23",P-MOS 20V 3A 90mΩ,,MOSFET,P-Channel,Enhancement,Silicon,-20V,±12V,-0.45 to -1.0V,-3A,-12A,90mΩ,"VGS=-4.5V, ID=-3A",1.25W,550pF,180pF,80pF,7.5nC,1.9nC,2.6nC,7ns,9ns,18ns,8.5ns,-1.0V,20ns,-1µA,±100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_PMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Diodes Inc.,DMG2301L,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000418,DMG2302U,"20V N-Channel MOSFET, 4.2A, SOT-23",N-MOS 20V 4.2A 28mΩ,,MOSFET,N-Channel,Enhancement,Silicon,20V,±12V,0.5-1.0V,4.2A,25A,28mΩ,"VGS=4.5V, ID=4.2A",1.25W,400pF,110pF,50pF,10nC,1.8nC,4.2nC,4.2ns,17ns,17.8ns,11ns,1.2V,15ns,1µA,±1µA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Diodes Inc.,DMG2302U,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000419,DMG3402L,"30V N-Channel MOSFET, 4A, SOT-23",N-MOS 30V 4A 40mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.7-1.5V,4A,16A,40mΩ,"VGS=10V, ID=4A",1.25W,350pF,95pF,45pF,7.2nC,1.9nC,2.5nC,5.2ns,8.5ns,16ns,7.2ns,1.1V,18ns,1µA,100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Diodes Inc.,DMG3402L,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000420,DMG3404L,"30V N-Channel MOSFET, 5.8A, SOT-23",N-MOS 30V 5.8A 28mΩ,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.7-1.5V,5.8A,23A,28mΩ,"VGS=10V, ID=5.8A",1.25W,500pF,135pF,65pF,9.8nC,2.5nC,3.4nC,5.8ns,9.2ns,18ns,8ns,1.1V,19ns,1µA,100nA,SOT-23,2.90x2.30mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:SOT-23,SOT?23*,,1,1,Diodes Inc.,DMG3404L,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
